"id";"word";"answer"
"1";"Elena helps her elderly neighbor every morning.";"Elena ayuda a su vecina anciana cada mañana."
"2";"She accesses the building through the front gate.";"Ella accede al edificio por la puerta principal."
"3";"Does Elena save money to visit her mother?";"¿Elena ahorra dinero para visitar a su madre?"
"4";"Yes, she saves every peso carefully and wisely.";"Sí, ella ahorra cada peso cuidadosa y sabiamente."
"5";"Her neighbor rents an apartment on the third floor.";"Su vecina alquila un apartamento en el tercer piso."
"6";"They dance together in the living room weekly.";"Bailan juntas en la sala una vez por semana."
"7";"Elena searches for fresh groceries at the market.";"Elena busca comida fresca en el mercado."
"8";"She changes her schedule to help her friend.";"Ella cambia su horario para ayudar a su amiga."
"9";"We walk slowly through the neighborhood together.";"Caminamos lentamente por el vecindario juntos."
"10";"Does she cancel her own plans for others?";"¿Ella cancela sus propios planes por otros?"
"11";"Always, she cancels anything to help people.";"Siempre, ella cancela todo para ayudar gente."
"12";"I cook special meals when visiting elderly friends.";"Cocino comidas especiales cuando visito amigos ancianos."
"13";"You buy the best ingredients for your family.";"Tú compras los mejores ingredientes para tu familia."
"14";"She answers questions with patience and care.";"Ella contesta preguntas con paciencia y cuidado."
"15";"We rest after working all day together.";"Descansamos después de trabajar todo el día juntos."
"16";"They draw pictures during afternoon visits.";"Dibujan cuadros durante visitas por la tarde."
"17";"Elena begins her day thinking of others.";"Elena comienza su día pensando en otros."
"18";"She enters with a bright smile always.";"Entra con una sonrisa brillante siempre."
"19";"He sends letters from his travels abroad.";"Él envía cartas de sus viajes al extranjero."
"20";"We listen to stories about her long life.";"Escuchamos historias sobre su vida larga."
"21";"I wait for her call every single day.";"Espero su llamada cada día solamente."
"22";"Does her kindness change people's hearts forever?";"¿Su amabilidad cambia los corazones para siempre?"
"23";"Yes, neighbors feel loved and truly seen.";"Sí, los vecinos se sienten amados y vistos."
"24";"She speaks with wisdom and gentle humor.";"Ella habla con sabiduría y humor gentil."
"25";"We try our best to help her too.";"Intentamos nuestro mejor esfuerzo ayudarla también."
"26";"They invite her to all their celebrations.";"La invitan a todas sus celebraciones."
"27";"Elena washes dishes while listening to music.";"Elena lava platos mientras escucha música."
"28";"She cleans the apartment until it sparkles.";"Ella limpia el apartamento hasta que brilla."
"29";"Her legacy calls future generations to kindness.";"Su legado llama futuras generaciones a la amabilidad."
"30";"Elena's love arrives in every single gesture.";"El amor de Elena llega en cada gesto."
