"Title: The Family Gathering";"La Reunión Familiar"
"I open the window to let fresh air in.";"Abro la ventana para dejar entrar aire fresco."
"You admit that you miss Grandma’s cooking.";"Admites que extrañas la comida de la abuela."
"They attend the family lunch every Sunday.";"Ellos asisten al almuerzo familiar cada domingo."
"We share stories from the week.";"Compartimos historias de la semana."
"She covers the table with a colorful cloth.";"Ella cubre la mesa con un mantel de colores."
"Grandpa turns eighty next month.";"El abuelo cumple ochenta el próximo mes."
"He decides to make a special dessert.";"Él decide hacer un postre especial."
"I describe a funny moment from work.";"Describo un momento chistoso del trabajo."
"We discover an old photo album in a drawer.";"Descubrimos un álbum de fotos viejo en un cajón."
"Later we are going to discuss plans for the celebration.";"Más tarde vamos a discutir los planes para la celebración."
