"Title: Afternoon At The Market";"Tarde En El Mercado"
"I give the vendor exact change."; "Doy el cambio exacto al vendedor."
"You are going to let the kids choose a snack. [pl]"; "Van a dejar que los niños elijan una botana."
"We drink a cold agua fresca."; "Bebemos una agua fresca fría."
"They finish choosing their vegetables."; "Acaban de escoger sus verduras."
"You pay for the fruit at the counter. [sing, inf]"; "Pagas la fruta en la caja."
"I spend a little more on fresh tortillas."; "Gasto un poco más en tortillas frescas."
"We take out the bags from the cart."; "Sacamos las bolsas del carrito."
"They remove the stems from the strawberries."; "Quitan los tallos de las fresas."
"You drive slowly through the busy street. [sing, formal]"; "Maneja despacio por la calle llena."
"I am going to open the bag to check it."; "Voy a abrir la bolsa para revisarla."
"We love the smell of warm bread."; "Amamos el olor del pan calientito."
"They wash the fruit at the sink."; "Lavan la fruta en el fregadero."
"You cook a quick meal with fresh ingredients. [pl]"; "Cocinan una comida rápida con ingredientes frescos."
"We clean the table before eating."; "Limpiamos la mesa antes de comer."
"They dry the lettuce with a towel."; "Secan la lechuga con una toalla."
"You are going to bathe the baby after lunch. [sing, inf]"; "Vas a bañar al bebé después de comer."
"I matter to the vendor because I come often."; "Importo al vendedor porque vengo seguido."
"We interest the kids with colorful fruit."; "Interesamos a los niños con fruta colorida."
"They bother no one; they’re calm today."; "No molestan a nadie; están tranquilos hoy."
"You win a small discount. [sing, formal]"; "Gana un pequeño descuento."
"We go up the ramp with the cart."; "Subimos la rampa con el carrito."
"They come down the stairs carefully."; "Bajan las escaleras con cuidado."
"You dance a little to the music outside. [pl]"; "Bailan un poco con la música de afuera."
"I am going to tie the bags tightly."; "Voy a atar bien las bolsas."
"We tell the vendor we’ll return soon."; "Contamos al vendedor que volveremos pronto."
