"English";"Spanish"
"I forget my guitar at home again.";"Olvido mi guitarra en casa otra vez."
"Do you forget your car keys often? [sing, inf]";"¿Olvidas tus llaves del coche frecuentemente?"
"He forgets the hotel address every single time.";"Él olvida la dirección del hotel cada vez."
"I pay for everyone's dinner at the restaurant.";"Pago la cena de todos en el restaurante."
"Do you pay for your room yourself always? [sing, inf]";"¿Pagas tu habitación tú mismo siempre?"
"We pay the festival entry fee together now.";"Pagamos el precio de entrada del festival juntos."
"I practice my guitar before the big concert.";"Practico mi guitarra antes del concierto grande."
"Do you practice piano at your home often? [sing, inf]";"¿Practicas piano en tu casa frecuentemente?"
"She practices the saxophone every single day.";"Ella practica el saxofón cada día."
"I ask the hotel clerk for good directions.";"Le pregunto al empleado del hotel direcciones buenas."
"Does Elena ask good questions about jazz music?";"¿Pregunta Elena buenas preguntas sobre la música?"
"You ask many interesting questions throughout the day. [sing, inf]";"Haces muchas preguntas interesantes durante el día."
"I prepare everything for our long journey.";"Preparo todo para nuestro viaje largo."
"Do you prepare your suitcase the night before? [sing, inf]";"¿Preparas tu maleta la noche anterior?"
"They prepare a big lunch for everyone today.";"Preparan un almuerzo grande para todos hoy."
"I remember this trip for many, many years.";"Recuerdo este viaje por muchos, muchos años."
"Does he remember the concert from yesterday?";"¿Recuerda él el concierto de ayer?"
"You remember details that I always forget. [sing, inf]";"Recuerdas detalles que yo siempre olvido."
"I finish the road trip with wonderful memories.";"Termino el viaje con recuerdos maravillosos."
"Do you finish your work before you travel? [sing, inf]";"¿Terminas tu trabajo antes de viajar?"
"We finish the festival feeling very happy.";"Terminamos el festival sintiéndonos muy felices."
"I play my guitar at the jazz festival.";"Toco mi guitarra en el festival de jazz."
"Does Antonio play the piano most beautifully?";"¿Toca Antonio el piano muy hermosamente?"
"You play so very well during the performance. [sing, inf]";"Tocas tan bien durante la presentación."
"I drink strong coffee every single morning.";"Tomo café fuerte cada mañana."
"Do you take the direct train or transfer? [sing, inf]";"¿Tomas el tren directo o transfieres?"
"She takes her camera to capture good moments.";"Ella toma su cámara para capturar momentos."
"I work hard to save money for travel.";"Trabajo duro para ahorrar dinero para viajar."
"Do you work full-time or part-time mostly? [sing, inf]";"¿Trabajas tiempo completo o parcial principalmente?"
"They work together to organize the big trip.";"Trabajan juntos para organizar el viaje grande."
"I use my phone to find good restaurants.";"Uso mi teléfono para encontrar restaurantes buenos."
"Do you use a map for navigation here? [sing, inf]";"¿Usas un mapa para navegación aquí?"
"She uses her tablet for planning everything daily.";"Ella usa su tablet para planificar todo diariamente."
"I visit the famous jazz club downtown today.";"Visito el club de jazz famoso hoy."
"Do you visit museums during all your trips? [sing, inf]";"¿Visitas museos durante todos tus viajes?"
"We visit every small charming village with care.";"Visitamos cada pueblo pequeño y encantador con cuidado."
"I revisit the same coffee shop every day.";"Reviso el mismo café cada día."
"Do you revisit places from your childhood memories? [sing, inf]";"¿Revisitas lugares de tus recuerdos de infancia?"
"Antonio revisits his hometown after ten long years.";"Antonio revisita su pueblo natal después de diez años."
"I return home with many new friendships.";"Regreso a casa con muchas amistades nuevas."
"Do you return the rental car tomorrow morning? [sing, inf]";"¿Devuelves el coche de alquiler mañana por la mañana?"
"We return to our starting point feeling happy.";"Regresamos a nuestro punto de partida sintiéndonos felices."
"I stay at a beautiful beachside hotel.";"Me quedo en un hotel bonito en la playa."
"Do you stay longer if you really like it? [sing, inf]";"¿Te quedas más tiempo si realmente te gusta?"
"She stays with relatives near the big city.";"Ella se queda con parientes cerca de la ciudad."
"I travel by car down the beautiful coast.";"Viajo en coche por la costa hermosa."
"Do you travel often on your weekends away? [sing, inf]";"¿Viajas frecuentemente en tus fines de semana?"
"We travel through beautiful mountain towns slowly.";"Viajamos por pueblos de montaña hermosos lentamente."
