"id","word","answer"
"1","From time to time a squirrel shows up in the garden.","De tanto en tanto aparece una ardilla en el jardín."
"2","We should pay a visit to your cousins.","Deberíamos hacer una visita a tus primos."
"3","You must make an effort.","Debes hacer un esfuerzo."
"4","I want to travel forever.","Deseo viajar por siempre."
"5","They say that statue brings good luck.","Dicen que esa estatua da buena suerte."
"6","The fish is dead.","El pez está muerto."
"7","She is an expert in computer systems.","Ella es experta en sistemas informáticos."
"8","In this city, industry is central.","En esta ciudad, la industria es central."
"9","This association protects the rights of immigrants.","Esta asociación protege los derechos de los inmigrantes."
"10","This is my daughter, Julia.","Esta es mi hija, Julia."
"11","We are against all types of violence.","Estamos en contra de todo tipo de violencia."
"12","This is a very delicate matter.","Este es un asunto muy delicado."
"13","This is a democracy, we must vote.","Esto es una democracia, debemos votar."
"14","I am going through a very confusing phase.","Estoy en una etapa muy confusa."
"15","There are different ways to travel.","Hay distintas formas de viajar."
"16","There are too many people, let’s go elsewhere.","Hay mucha gente, vamos a otro lado."
"17","There are sectors of society that are very vulnerable.","Hay sectores de la sociedad que son muy vulnerables."
"18","There are three health centers in the neighborhood.","Hay tres centros de salud en el barrio."
"19","There are several areas of the island that you must visit.","Hay varias zonas de la isla que debes visitar."
"20","Today Jorge presents his thesis.","Hoy Jorge presenta su tesis."
"21","Today I just want to rest.","Hoy solamente quiero descansar."
"22","Kevin doesn't have the will to work.","Kevin no tiene la voluntad de trabajar."
"23","Human activity affects the environment.","La actividad humana afecta el medioambiente."
"24","Science grows everyday.","La ciencia crece todos los días."
"25","The best educational institutions are public.","Las mejores instituciones educativas son públicas."
"26","The students are very diverse.","Los alumnos son muy diversos."
"27","I like the cover of the book, but not the content.","Me gusta la portada del libro, pero no el contenido."
"28","I like the frame more than the painting.","Me gusta más el marco que la pintura."
"29","I like happy subjects.","Me gustan los temas felices."
"30","My wife is looking for a job.","Mi esposa busca empleo."
"31","My brother is a lawyer.","Mi hermano es abogado."
"32","My daughter's name is Sara.","Mi hija se llama Sara."
"33","My father always puts his children as a priority.","Mi padre siempre pone a sus hijos como una prioridad."
"34","My friends always find a way to have fun.","Mis amigos siempre encuentran la forma de divertirse."
"35","I don’t eat meat.","No como carne."
"36","I do not understand the concept.","No entiendo el concepto."
"37","Our interests are very different.","Nuestros intereses son muy distintos."
"38","Olga considers it her right.","Olga considera que es su derecho."
"39","Pedro is from the opposition party.","Pedro es del partido de la oposición."
"40","We can eat a sandwich or something else.","Podemos comer un sándwich u otra cosa."
"41","Bearing arms is not legal here.","Portar armas no es legal aquí."
"42","I want to try a new haircut.","Quiero probar un nuevo corte de cabello."
"43","I want to sit in the front.","Quiero sentarme adelante."
"44","I want a small pizza, please.","Quiero una pizza pequeña, por favor."
"45","I want to live abroad.","Quiero vivir en el exterior."
"46","Madam, you dropped something.","Señora, se le ha caído algo."
"47","I always sleep with socks on, even in the summer.","Siempre duermo con calcetines, aun en verano."
"48","He always looks very sloppy.","Siempre tiene un aspecto muy desprolijo."
"49","I only wear this dress on special occasions.","Solo uso este vestido en ocasiones especiales."
"50","These are the first flowers to bloom.","Son las primeras flores en florecer."
"51","I am a professional translator.","Soy traductora profesional."
"52","We have several possibilities for tonight.","Tenemos varias posibilidades para esta noche."
"53","I have too many patients this week.","Tengo demasiados pacientes esta semana."
"54","I have a bad headache.","Tengo mucho dolor de cabeza."
"55","I have a very particular problem.","Tengo un problema muy particular."
"56","I have a question, professor.","Tengo una pregunta, profesor."
"57","I have a job proposal for you.","Tengo una propuesta de trabajo para ti."
"58","You have many reasons to travel.","Tienes muchas razones para viajar."
"59","Take this book, you'll like it.","Toma este libro, te gustará."
"60","I live in a rural area.","Vivo en un área rural."
"61","I'm very sleepy!","¡Tengo mucho sueño!"
"62","How many types of pumpkin are there?","¿Cuántos tipos de calabaza hay?"
"63","Where is the exit?","¿Dónde está la salida?"
"64","Where can I see the prices of the drinks?","¿Dónde puedo ver precios de las bebidas?"
"65","Is that ring made of gold?","¿Ese anillo es de oro?"
"66","Is this our bed?","¿Esta es nuestra cama?"
"67","Are you going to go inside the house?","¿Vas a entrar a la casa?"
