word,answer
I open,yo abro
you open,tú abres
he opens,él abre
she opens,ella abre
we open,nosotros abrimos
you open (plural),ustedes abren
they open,ellos abren
I admit,yo admito
you admit,tú admites
he admits,él admite
she admits,ella admite
we admit,nosotros admitimos
you admit (plural),ustedes admiten
they admit,ellos admiten
I add,yo añado
you add,tú añades
he adds,él añade
she adds,ella añade
we add,nosotros añadimos
you add (plural),ustedes añaden
they add,ellos añaden
I attend,yo asisto
you attend,tú asistes
he attends,él asiste
she attends,ella asiste
we attend,nosotros asistimos
you attend (plural),ustedes asisten
they attend,ellos asisten
I share,yo comparto
you share,tú compartes
he shares,él comparte
she shares,ella comparte
we share,nosotros compartimos
you share (plural),ustedes comparten
they share,ellos comparten
I consume,yo consumo
you consume,tú consumes
he consumes,él consume
she consumes,ella consume
we consume,nosotros consumimos
you consume (plural),ustedes consumen
they consume,ellos consumen
I cover,yo cubro
you cover,tú cubres
he covers,él cubre
she covers,ella cubre
we cover,nosotros cubrimos
you cover (plural),ustedes cubren
they cover,ellos cubren
I decide,yo decido
you decide,tú decides
he decides,él decide
she decides,ella decide
we decide,nosotros decidimos
you decide (plural),ustedes deciden
they decide,ellos deciden
I describe,yo describo
you describe,tú describes
he describes,él describe
she describes,ella describe
we describe,nosotros describimos
you describe (plural),ustedes describen
they describe,ellos describen
I discuss,yo discuto
you discuss,tú discutes
he discusses,él discute
she discusses,ella discute
we discuss,nosotros discutimos
you discuss (plural),ustedes discuten
they discuss,ellos discuten
I divide,yo divido
you divide,tú divides
he divides,él divide
she divides,ella divide
we divide,nosotros dividimos
you divide (plural),ustedes dividen
they divide,ellos dividen
I write,yo escribo
you write,tú escribes
he writes,él escribe
she writes,ella escribe
we write,nosotros escribimos
you write (plural),ustedes escriben
they write,ellos escriben
I exist,yo existo
you exist,tú existes
he exists,él existe
she exists,ella existe
we exist,nosotros existimos
you exist (plural),ustedes existen
they exist,ellos existen
I print,yo imprimo
you print,tú imprimes
he prints,él imprime
she prints,ella imprime
we print,nosotros imprimimos
you print (plural),ustedes imprimen
they print,ellos imprimen
I insist,yo insisto
you insist,tú insistes
he insists,él insiste
she insists,ella insiste
we insist,nosotros insistimos
you insist (plural),ustedes insisten
they insist,ellos insisten
I omit,yo omito
you omit,tú omites
he omits,él omite
she omits,ella omite
we omit,nosotros omitimos
you omit (plural),ustedes omiten
they omit,ellos omiten
I allow,yo permito
you allow,tú permites
he allows,él permite
she allows,ella permite
we allow,nosotros permitimos
you allow (plural),ustedes permiten
they allow,ellos permiten
I receive,yo recibo
you receive,tú recibes
he receives,él recibe
she receives,ella recibe
we receive,nosotros recibimos
you receive (plural),ustedes reciben
they receive,ellos reciben
I distribute,yo reparto
you distribute,tú repartes
he distributes,él reparte
she distributes,ella reparte
we distribute,nosotros repartimos
you distribute (plural),ustedes reparten
they distribute,ellos reparten
I shake,yo sacudo
you shake,tú sacudes
he shakes,él sacude
she shakes,ella sacude
we shake,nosotros sacudimos
you shake (plural),ustedes sacuden
they shake,ellos sacuden
I go up,yo subo
you go up,tú subes
he goes up,él sube
she goes up,ella sube
we go up,nosotros subimos
you go up (plural),ustedes suben
they go up,ellos suben
I suffer,yo sufro
you suffer,tú sufres
he suffers,él sufre
she suffers,ella sufre
we suffer,nosotros sufrimos
you suffer (plural),ustedes sufren
they suffer,ellos sufren
I join,yo uno
you join,tú unes
he joins,él une
she joins,ella une
we join,nosotros unimos
you join (plural),ustedes unen
they join,ellos unen
I live,yo vivo
you live,tú vives
he lives,él vive
she lives,ella vive
we live,nosotros vivimos
you live (plural),ustedes viven
they live,ellos viven
