"id","word","answer"
"1","Do you speak English? [pol]","¿Habla inglés?"
"2","I don’t understand.","No entiendo."
"3","What does _____ mean?","¿Qué significa _____ ?"
"4","Do you speak English? [inf]","¿Hablas inglés?"
"5","Does anyone speak English?","¿Hay alguien que hable inglés?"
"6","I don't speak Spanish.","No hablo español."
"7","I speak a little.","Hablo un poquito."
"8","Do you understand? [pol]","¿Me entiende?"
"9","I understand.","Entiendo."
"10","How do you pronounce this?","¿Cómo se pronuncia esto?"
"11","How do you write _____ ?","¿Cómo se escribe _____ ?"
"12","Could you please repeat that?","¿Puede repetirlo, por favor?"
"13","Could you please speak more slowly?","¿Puede hablar más despacio, por favor?"
"14","Could you please write it down?","¿Puede escribirlo, por favor?"
"15","embarrassed","apenado/a"
"16","pregnant","embarazada"
"17","exit","la salida"
"18","success","el éxito"
"19","injury","la herida"
"20","parents","los padres"
"21","relatives","los parientes"
"22","100","cien"
"23","200","doscientos"
"24","1000","mil"
"25","1,000,000","un millón"
"26","1st","primero/a"
"27","2nd","segundo/a"
"28","3rd","tercero"
"29","How much?","¿Cuánto/a?"
"30","How many?","¿Cuantos/as?"
"31","a little ","un poco"
"32","a lot, much","mucho/a"
"33","many","muchos/as"
"34","some","algunos/as"
"35","What time is it?","¿Qué hora es?"
"36","It’s one o’clock.","Es la una."
"37","It’s ten o’clock.","Son las diez."
"38","It’s a quarter past one.","Es la una y cuarto."
"39","It’s a quarter to one.","Es un cuarto para la una."
"40","It’s twenty past one.","Es la una y veinte."
"41","It’s half past (eight).","Son las (ocho) y media."
"42","It’s twenty to (eight).","Son veinte para las (ocho). [Son las siete cuarenta.]"
"43","It’s a quarter to (eight).","Son cuarto para las (ocho)."
"44","At what time ____ ?","¿A qué hora _____ ?"
"45","At one o’clock.","A la una."
"46","At (eight) o’clock.","A las (ocho)."
"47","At (4:40pm).","A las (cuatro y cuarenta de la tarde)."
"48","noon","mediodía"
"49","midnight","medianoche"
"50","in the morning","de la mañana"
"51","in the afternoon","de la tarde"
"52","in the evening","de la noche"
"53","sunrise","el amanecer"
"54","dawn","la madrugada"
"55","morning","la mañana"
"56","day","el día"
"57","afternoon","la tarde"
"58","evening","la noche"
"59","sunset","el atardecer"
"60","Monday","lunes (m)"
"61","Tuesday","martes (m)"
"62","Wednesday","miércoles (m)"
"63","Thursday","jueves (m)"
"64","Friday","viernes (m)"
"65","Saturday","sábado (m)"
"66","Sunday","domingo (m)"
"67","January","enero (m)"
"68","February","febrero (m)"
"69","March","marzo (m)"
"70","April","abril (m)"
"71","May","mayo (m)"
"72","June","junio (m)"
"73","July","julio (m)"
"74","August","agosto (m)"
"75","September","septiembre (m)"
"76","October","octubre (m)"
"77","November","noviembre (m)"
"78","December","diciembre (m)"
"79","summer","verano (m)"
"80","autumn","otoño (m)"
"81","winter","invierno (m)"
"82","spring","primavera (f)"
"83","now","ahora"
"84","right now","ahora mismo"
"85","today","hoy"
"86","tonight","esta noche"
"87","this morning","esta mañana"
"88","this afternoon","esta tarde"
"89","this week","esta semana"
"90","this month","este mes"
"91","this year","este año"
"92","yesterday","ayer"
"93","yesterday morning","ayer en la mañana"
"94","yesterday afternoon","ayer en la tarde"
"95","yesterday evening","ayer en la noche"
"96","day before yesterday","antier"
"97","(three days) ago","hace (tres días)"
"98","since (May)","desde (mayo)"
"99","last night","anoche"
"100","last week","la semana pasada"
"101","last month","el mes pasado"
"102","last year","el año pasado"
"103","tomorrow","mañana"
"104","tomorrow morning","mañana en la mañana"
"105","tomorrow afternoon","mañana en la tarde"
"106","tomorrow evening","mañana en la noche"
"107","day after tomorrow","pasado mañana"
"108","in (six) days","en (seis) días"
"109","until (June)","hasta (junio)"
"110","next week","la próxima semana"
"111","next month","el próximo mes [std], el mes que viene [conv]"
"112","next year","el próximo año [std], el año que viene [conv]"
