"id","word","answer"
"1","to lead the way or go somewhere before someone else","Adelantarse"
"2","Ornament","Adorno"
"3","to feed","Alimentar"
"4","to liven something up","Amenizar"
"5","Angosaxon","Anglosajón"
"6","Rooted","Arraigado"
"7","to risk","Arriesgar"
"8","Huesudo, a","Bony"
"9","Skeleton [Mexican slang]","Calaca"
"10","Skull","Calavera"
"11","rushing river","Caudaloso"
"12","Hill","Cerro"
"13","to coexist or live with","Convivir"
"14","Belief","Creencia"
"15","Day of all saints","Día de los muertos"
"16","Egyptians","Egipcios"
"17","the wind blows","El viento sopla"
"18","Confrontation","Enfrentamiento"
"19","It is accurate to say","Es acertado decir que"
"20","Skeleton","Esqueletos"
"21","Narrow","Estrecho"
"22","Sharp","Filoso"
"23","Arrows","Flechas"
"24","Frozen","Helado"
"25","Underworld","Inframundo"
"26","Freedom of speech","Libertad de expresión"
"27","Gloomy or grim","Lúgubre"
"28","Nosy","Metiche"
"29","Mythology","Mitología"
"30","Mummy","Momia"
"31","Death","Muerte"
"32","a dead person","Muerto"
"33","Blades","Navajas"
"34","Fog","Niebla"
"35","Paradise","Paraíso"
"36","De mal gusto","Tacky"
"37","Just as I said","Tal y como dije"
"38","Valley","Valle"
"39","Llanto","Weeping or lament"
