"id","word","answer"
"1","to get up","levantarse"
"2","to go to bed","acostarse"
"3","to wake up","despertarse"
"4","to fall asleep","dormirse"
"5","to get dressed","vestirse"
"6","to take a shower","ducharse"
"7","to bathe","bañarse"
"8","to wash oneself","lavarse"
"9","to brush (teeth/hair)","cepillarse"
"10","to comb one's hair","peinarse"
"11","to sit down","sentarse"
"12","to stand up","levantarse"
"13","to feel (emotion/physical)","sentirse"
"14","to get angry","enojarse"
"15","to get tired","cansarse"
"16","to hurry","apurarse"
"17","to stay","quedarse"
"18","to leave/go away","irse"
"19","to call oneself","llamarse"
"20","to become","hacerse"
"21","to become (sudden change)","ponerse"
"22","to become (character change)","volverse"
"23","to realize","darse cuenta"
"24","to remember","acordarse"
"25","to forget","olvidarse"
"26","to complain","quejarse"
"27","to worry","preocuparse"
"28","to have fun","divertirse"
"29","to meet each other","conocerse"
"30","to kiss each other","besarse"
