"id","word","answer"
"1","forward","adelante"
"2","next to","al lado de"
"3","there","allá"
"4","here","aquí"
"5","avenue","avenida"
"6","bank","banco"
"7","sidewalk","banqueta"
"8","neighborhood","barrio"
"9","library","biblioteca"
"10","street","calle"
"11","walk [imperative, inf]","camina"
"12","to walk","caminar"
"13","walk [imperative, formal]","camine"
"14","highway","carretera"
"15","shopping mall","centro comercial"
"16","near","cerca"
"17","near/close [to]","cerca [de]"
"18","near here","cerca de aquí"
"19","crosswalk","cruce peatonal"
"20","intersection","crucero [or cruce]"
"21","block","cuadra"
"22","right","derecha"
"23","straight","derecho"
"24","after","después de"
"25","behind","detrás de"
"26","address","dirección"
"27","excuse me","disculpe"
"28","turn [imperative, informal]","dobla"
"29","to turn","doblar"
"30","turn [imperative, formal]","doble"
"31","building","edificio"
"32","on that corner","en esa esquina"
"33","on this street","en esta calle"
"34","in front of","enfrente de"
"35","school","escuela"
"36","corner","esquina"
"37","station","estación"
"38","east","este"
"39","roundabout","glorieta"
"40","hospital","hospital"
"41","hotel","hotel"
"42","church","iglesia"
"43","left","izquierda"
"44","far","lejos"
"45","far [from]","lejos [de]"
"46","far from here","lejos de aquí"
"47","market","mercado"
"48","museum","museo"
"49","north","norte"
"50","west","oeste"
"51","park","parque"
"52","plaza","plaza"
"53","bridge","puente"
"54","restaurant","restaurante"
"55","traffic light","semáforo"
"56","supermarket","supermercado"
"57","south","sur"
"58","straight ahead","todo derecho"
