"taxi";"taxi"
"Uber";"Uber"
"bus";"camión"
"bus";"autobús"
"bus station";"central de autobuses"
"taxi stand";"sitio de taxis"
"ride / trip";"viaje"
"route";"ruta"
"road / way";"camino"
"highway";"carretera"
"traffic";"tráfico"
"meter";"taxímetro"
"price";"precio"
"total price";"precio total"
"tip";"propina"
"card";"tarjeta"
"credit card";"tarjeta de crédito"
"cash";"efectivo"
"change";"cambio"
"address";"dirección"
"map";"mapa"
"GPS";"GPS"
"hotel";"hotel"
"entrance";"entrada"
"corner";"esquina"
"outside";"afuera"
"in front of";"frente a"
"pickup point";"punto de recogida"
"car";"coche"
"car";"carro"
"license plate";"placa"
"color";"color"
"message";"mensaje"
"phone call";"llamada"
"phone";"celular"
"bag";"bolsa"
"luggage";"equipaje"
"ticket";"boleto"
"one-way ticket";"boleto sencillo"
"round-trip ticket";"boleto de ida y vuelta"
"discount";"descuento"
"senior citizens";"adultos mayores"
"platform";"andén"
"gate";"puerta"
"stop";"parada"
"next bus";"próximo camión"
"direct bus";"camión directo"
"transfer";"transbordo"
"seat";"asiento"
"available";"disponible"
"occupied / taken";"ocupado"
"full";"lleno"
"late / delayed";"retrasado"
"nearby";"cerca"
"far";"lejos"
"fastest";"más rápido"
"slowly";"despacio"
"carefully";"con cuidado"
"right";"derecha"
"left";"izquierda"
"straight";"derecho"
"wrong way";"camino equivocado"
"here";"aquí"
"there";"allá"
"later";"más tarde"
"now";"ahora"
"a moment";"un momento"
"five minutes";"cinco minutos"
"air conditioning";"aire acondicionado"
"window";"ventana"
"bathroom";"baño"
"destination";"destino"
"carsick / dizzy";"mareado"
"sick / unwell";"mal"
"to need";"necesitar"
"to go";"ir"
"to take someone";"llevar"
"to leave / depart";"salir"
"to arrive";"llegar"
"to wait";"esperar"
"to stop";"detenerse"
"to stop at a place";"parar"
"to turn";"dar vuelta"
"to continue";"seguir"
"to drive";"manejar"
"to pay";"pagar"
"to buy";"comprar"
"to show";"mostrar"
"to follow";"seguir"
"to take / get a taxi or bus";"tomar"
"to pick up";"recoger"
"to return";"regresar"
"to call";"llamar"
"to send";"mandar"
"to cancel";"cancelar"
"to leave something behind";"dejar algo"
"to get off";"bajarse"
"to notify / let someone know";"avisar"
"to transfer";"transbordar"
"to sit";"sentarse"
"to open";"abrir"
"to close";"cerrar"
"to miss a stop";"pasarse"
