"id";"word";"answer"
"1";"personal";"personal"
"2";"general";"general"
"3";"local";"local"
"4";"social";"social"
"5";"cultural";"cultural"
"6";"natural";"natural"
"7";"mental";"mental"
"8";"legal";"legal"
"9";"normal";"normal"
"10";"simple";"simple"
"11";"probable";"probable"
"12";"improbable";"improbable"
"13";"real";"real"
"14";"visible";"visible"
"15";"invisible";"invisible"
"16";"triangular";"triangular"
"17";"flexible";"flexible"
"18";"musical";"musical"
"19";"simple";"simple"
"20";"normal";"normal"
"21";"final";"final"
"22";"central";"central"
"23";"rural";"rural"
"24";"global";"global"
"25";"local";"local"
"26";"regional";"regional"
"27";"neutral";"neutral"
"28";"visible";"visible"
"29";"invisible";"invisible"
"30";"personal";"personal"
"31";"rural";"rural"
"32";"global";"global"
"33";"local";"local"
"34";"regional";"regional"
"35";"legal";"legal"
"36";"moral";"moral"
"37";"material";"material"
"38";"mental";"mental"
"39";"nuclear";"nuclear"
"40";"solar";"solar"
"41";"lunar";"lunar"
"42";"central";"central"
"43";"vertical";"vertical"
"44";"horizontal";"horizontal"
"45";"diagonal";"diagonal"
"46";"circular";"circular"
"47";"perpendicular";"perpendicular"
"48";"rectangular";"rectangular"
"49";"natural";"natural"
"50";"artificial";"artificial"
"51";"digital";"digital"
"52";"manual";"manual"
"53";"industrial";"industrial"
"54";"fiscal";"fiscal"
"55";"legal";"legal"
"56";"judicial";"judicial"
"57";"criminal";"criminal"
"58";"civil";"civil"
"59";"naval";"naval"
"60";"social";"social"
"61";"cultural";"cultural"
"62";"moral";"moral"
"63";"experimental";"experimental"
"64";"viral";"viral"
"65";"curable";"curable"
"66";"incurable";"incurable"
"67";"visible";"visible"
"68";"invisible";"invisible"
"69";"brutal";"brutal"
"70";"cruel";"cruel"
"71";"flexible (personality)";"flexible"
"72";"adaptable";"adaptable"
"73";"superficial";"superficial"
"74";"radical";"radical"
"75";"literal";"literal"
"76";"general";"general"
"77";"universal";"universal"
"78";"particular";"particular"
"79";"individual";"individual"
"80";"formal";"formal"
"81";"informal";"informal"
"82";"ceremonial";"ceremonial"
"83";"casual";"casual"
"84";"moral";"moral"
"85";"honorable";"honorable"
"86";"vulgar";"vulgar"
"87";"tropical";"tropical"
"88";"polar";"polar"
"89";"mineral";"mineral"
"90";"permeable";"permeable"
"91";"impermeable";"impermeable"
"92";"granular";"granular"
"93";"fractal";"fractal"
"94";"tonal";"tonal"
"95";"atonal";"atonal"
"96";"vocal";"vocal"
"97";"instrumental";"instrumental"
"98";"industrial (sound)";"industrial"
"99";"nasal";"nasal"
"100";"digital";"digital"
"101";"virtual";"virtual"
"102";"artificial";"artificial"
"103";"ritual";"ritual"
"104";"ceremonial";"ceremonial"
"105";"ancestral";"ancestral"
"106";"tribal";"tribal"
"107";"experimental";"experimental"
"108";"possible";"posible"
"109";"impossible";"imposible"
"110";"illegal";"ilegal"
"111";"possible";"posible"
"112";"occasional";"ocasional"
"113";"annual";"anual"
"114";"professional";"profesional"
"115";"illegal";"ilegal"
"116";"commercial";"comercial"
"117";"illegal";"ilegal"
"118";"colossal";"colosal"
"119";"official";"oficial"
"120";"compressible";"compresible"
"121";"incompressible";"incompresible"
"122";"guttural";"gutural"
"123";"grammatical";"gramatical"
"124";"different";"diferente"
"125";"important";"importante"
"126";"necessary";"necesario"
"127";"public";"público"
"128";"national";"nacional"
"129";"international";"internacional"
"130";"political";"político"
"131";"economic";"económico"
"132";"necessary";"necesario"
"133";"famous";"famoso"
"134";"clear, evident";"evidente"
"135";"intelligent";"inteligente"
"136";"ignorant";"ignorante"
"137";"creative";"creativo"
"138";"practical";"práctico"
"139";"impractical";"impráctico"
"140";"logical";"lógico"
"141";"illogical";"ilógico"
"142";"curious";"curioso"
"143";"generous";"generoso"
"144";"arrogant";"arrogante"
"145";"aggressive";"agresivo"
"146";"transparent";"transparente"
"147";"delicious";"delicioso"
"148";"attractive";"atractivo"
"149";"aggressive";"agresivo"
"150";"basic";"básico"
"151";"traditional";"tradicional"
"152";"present";"presente"
"153";"permanent";"permanente"
"154";"constant";"constante"
"155";"primary";"primario"
"156";"domestic";"doméstico"
"157";"national";"nacional"
"158";"international";"internacional"
"159";"furious";"furioso"
"160";"positive";"positivo"
"161";"negative";"negativo"
"162";"emotional";"emocional"
"163";"romantic";"romántico"
"164";"aggressive";"agresivo"
"165";"curious";"curioso"
"166";"creative";"creativo"
"167";"imaginative";"imaginativo"
"168";"practical";"práctico"
"169";"impractical";"impráctico"
"170";"logical";"lógico"
"171";"illogical";"ilógico"
"172";"ignorant";"ignorante"
"173";"intelligent";"inteligente"
"174";"generous";"generoso"
"175";"arrogant";"arrogante"
"176";"public";"público"
"177";"domestic";"doméstico"
"178";"national";"nacional"
"179";"international";"internacional"
"180";"religious";"religioso"
"181";"emotional";"emocional"
"182";"medical";"médico"
"183";"atomic";"atómico"
"184";"cosmic";"cósmico"
"185";"galactic";"galáctico"
"186";"conical";"cónico"
"187";"metallic";"metálico"
"188";"plastic";"plástico"
"189";"ceramic";"cerámico"
"190";"organic";"orgánico"
"191";"toxic";"tóxico"
"192";"explosive";"explosivo"
