"Hi! What’s up?";"¡Hola! ¿Qué onda?"
"David! All good.";"¡David! Todo bien."
"Hey, I’m looking for good tea. Do you know a place?";"Oye, busco té bueno. ¿Conoces un lugar?"
"Yes, a shop on the avenue.";"Sí, una tienda en la avenida."
"Oh, thanks.";"Ah, gracias."
"You’re welcome.";"De nada."
"What are you doing today?";"¿Qué haces hoy?"
"Going to see my family.";"Voy con mi familia."
"Nice.";"Qué padre."
"And you?";"¿Y tú?"
"Just errands.";"Solo mandados."
"I’ll send you the location later.";"Bueno, luego te paso la ubicación."
"Yes, thanks.";"Sí, gracias."
"See you.";"Nos vemos."
"Take care.";"Cuídate."
