"Title: Morning At The Plaza";"Mañana En La Plaza"
"I speak with a vendor about fruit."; "Hablo con un vendedor sobre fruta."
"You take a small bag from the table. [sing, inf]"; "Tomas una bolsita de la mesa."
"We work together to choose good mangos."; "Trabajamos juntos para escoger buenos mangos."
"They eat a few slices while we wait."; "Ellos comen unos pedazos mientras esperamos."
"I live near this plaza and come often."; "Vivo cerca de esta plaza y vengo seguido."
"She takes the basket to the counter."; "Ella lleva la canasta al mostrador."
"He arrives early to open his stand."; "Él llega temprano para abrir su puesto."
"You call the vendor to ask the price. [sing, inf]"; "Llamas al vendedor para preguntar el precio."
"We listen to the music from the street."; "Escuchamos la música de la calle."
"They see the fresh fruit on the table."; "Miran la fruta fresca en la mesa."
"I buy two mangos for breakfast."; "Compro dos mangos para el desayuno."
"You search for ripe bananas nearby. [sing, inf]"; "Buscas plátanos maduros por aquí."
"We need a little more fruit for home."; "Necesitamos un poco más de fruta para la casa."
"He asks the vendor for a discount."; "Él pregunta al vendedor por un descuento."
"They wait patiently in the short line."; "Ellos esperan pacientemente en la fila corta."
"She changes her mind and picks apples."; "Ella cambia de opinión y elige manzanas."
"We walk slowly through the plaza."; "Caminamos despacio por la plaza."
"I pass by the flower stand with joy."; "Paso por el puesto de flores con gusto."
"You enter the café for a quick drink. [sing, inf]"; "Entras al cafecito por una bebida rápida."
"I must leave soon for my class."; "Debo salir pronto para mi clase."
"They believe the fruit here is the best."; "Ellos creen que la fruta aquí es la mejor."
"We learn new recipes from the vendor."; "Aprendemos recetas nuevas del vendedor."
"She writes the recipe in her notebook."; "Ella escribe la receta en su cuaderno."
"You travel to this plaza every weekend. [sing, inf]"; "Viajas a esta plaza cada fin de semana."
"We help the vendor carry boxes."; "Ayudamos al vendedor a cargar cajas."
"I am going to buy more fruit later."; "Voy a comprar más fruta más tarde."
"They are going to visit another stand."; "Ellos van a visitar otro puesto."
"We are going to return tomorrow morning."; "Vamos a regresar mañana por la mañana."
