"id","word","answer"
"1","He, she, you look for [buscar, sing; you=formal 'usted']","busca"
"2","We look for [buscar]","buscamos"
"3","They look for [buscar]","buscan"
"4","You look for [buscar, sing, inf]","buscas"
"5","I look for [buscar]","busco"
"6","He, she, you cook [cocinar, sing; you=formal 'usted']","cocina"
"7","We cook [cocinar]","cocinamos"
"8","They cook [cocinar]","cocinan"
"9","You cook [cocinar, sing, inf]","cocinas"
"10","I cook [cocinar]","cocino"
"11","He, she, you pay [pagar, sing; you=formal 'usted']","paga"
"12","We pay [pagar]","pagamos"
"13","They pay [pagar]","pagan"
"14","You pay [pagar, sing, inf]","pagas"
"15","I pay [pagar]","pago"
