"id";"word";"answer"
"1";"to return";"volver"
"2";"to begin";"comenzar"
"3";"to feel";"sentir"
"4";"to ask for";"pedir"
"5";"to serve";"servir"
"6";"to die";"morir"
"7";"to sleep";"dormir"
"8";"to prefer";"preferir"
"9";"to lie";"mentir"
"10";"to laugh";"reír"
"11";"to smile";"sonreír"
"12";"to remember";"recordar"
"13";"to show";"demostrar"
"14";"to show";"mostrar"
"15";"to fall";"caer"
"16";"to hear";"oír"
"17";"to bite";"morder"
"18";"to build";"construir"
"19";"to destroy";"destruir"
"20";"to drive";"conducir"
"21";"to translate";"traducir"
"22";"to produce";"producir"
"23";"to introduce";"introducir"
