"id","word","answer"
"1","He, she, you open [sing; you=formal 'usted']","abre"
"2","They open","abren"
"3","You open [sing, inf]","abres"
"4","We open","abrimos"
"5","I open","abro"
"6","He, she, you learn [sing; you=formal 'usted']","aprende"
"7","We learn","aprendemos"
"8","They learn","aprenden"
"9","You learn [sing, inf]","aprendes"
"10","I learn","aprendo"
"11","He, she, you help [sing; you=formal 'usted']","ayuda"
"12","We help","ayudamos"
"13","They help","ayudan"
"14","You help [sing, inf]","ayudas"
"15","I help","ayudo"
"16","He, she, you look for [sing; you=formal 'usted']","busca"
"17","We look for","buscamos"
"18","They look for","buscan"
"19","You look for [sing, inf]","buscas"
"20","I look for","busco"
"21","He, she, you walk [sing; you=formal 'usted']","camina"
"22","We walk","caminamos"
"23","They walk","caminan"
"24","You walk [sing, inf]","caminas"
"25","I walk","camino"
"26","He, she, you cook [sing; you=formal 'usted']","cocina"
"27","We cook","cocinamos"
"28","They cook","cocinan"
"29","You cook [sing, inf]","cocinas"
"30","I cook","cocino"
"31","He, she, you eat [sing; you=formal 'usted']","come"
"32","We eat","comemos"
"33","They eat","comen"
"34","You eat [sing, inf]","comes"
"35","I eat","como"
"36","He, she, you share [sing; you=formal 'usted']","comparte"
"37","They share","comparten"
"38","You share [sing, inf]","compartes"
"39","We share","compartimos"
"40","I share","comparto"
"41","He, she, you buy [sing; you=formal 'usted']","compra"
"42","We buy","compramos"
"43","They buy","compran"
"44","You buy [sing, inf]","compras"
"45","He, she, you understand [sing; you=formal 'usted']","comprende"
"46","We understand","comprendemos"
"47","They understand","comprenden"
"48","You understand [sing, inf]","comprendes"
"49","I understand","comprendo"
"50","I buy","compro"
"51","He, she, you run [sing; you=formal 'usted']","corre"
"52","We run","corremos"
"53","They run","corren"
"54","You run [sing, inf]","corres"
"55","I run","corro"
"56","He, she, you believe [sing; you=formal 'usted']","cree"
"57","We believe","creemos"
"58","They believe","creen"
"59","You believe [sing, inf]","crees"
"60","I believe","creo"
"61","He, she, you owe [sing; you=formal 'usted']","debe"
"62","We owe","debemos"
"63","They owe","deben"
"64","You owe [sing, inf]","debes"
"65","I owe","debo"
"66","He, she, you decide [sing; you=formal 'usted']","decide"
"67","They decide","deciden"
"68","You decide [sing, inf]","decides"
"69","We decide","decidimos"
"70","I decide","decido"
"71","He, she, you discuss [sing; you=formal 'usted']","discute"
"72","They discuss","discuten"
"73","You discuss [sing, inf]","discutes"
"74","We discuss","discutimos"
"75","I discuss","discuto"
"76","He, she, you write [sing; you=formal 'usted']","escribe"
"77","They write","escriben"
"78","You write [sing, inf]","escribes"
"79","We write","escribimos"
"80","I write","escribo"
"81","He, she, you read [sing; you=formal 'usted']","lee"
"82","We read","leemos"
"83","They read","leen"
"84","You read [sing, inf]","lees"
"85","I read","leo"
"86","He, she, you clean [sing; you=formal 'usted']","limpia"
"87","We clean","limpiamos"
"88","They clean","limpian"
"89","You clean [sing, inf]","limpias"
"90","I clean","limpio"
"91","He, she, you take [sing; you=formal 'usted']","lleva"
"92","We take","llevamos"
"93","They take","llevan"
"94","You take [sing, inf]","llevas"
"95","I take","llevo"
"96","He, she, you pay [sing; you=formal 'usted']","paga"
"97","We pay","pagamos"
"98","They pay","pagan"
"99","You pay [sing, inf]","pagas"
"100","I pay","pago"
"101","He, she, you own [sing; you=formal 'usted']","posee"
"102","We own","poseemos"
"103","They own","poseen"
"104","You own [sing, inf]","posees"
"105","I own","poseo"
"106","He, she, you receive [sing; you=formal 'usted']","recibe"
"107","They receive","reciben"
"108","You receive [sing, inf]","recibes"
"109","We receive","recibimos"
"110","I receive","recibo"
"111","He, she, you break [sing; you=formal 'usted']","rompe"
"112","We break","rompemos"
"113","They break","rompen"
"114","You break [sing, inf]","rompes"
"115","I break","rompo"
"116","He, she, you go up [sing; you=formal 'usted']","sube"
"117","They go up","suben"
"118","You go up [sing, inf]","subes"
"119","We go up","subimos"
"120","I go up","subo"
"121","He, she, you play [sing; you=formal 'usted']","toca"
"122","We play","tocamos"
"123","They play","tocan"
"124","You play [sing, inf]","tocas"
"125","I play","toco"
"126","He, she, you drink [sing; you=formal 'usted']","toma"
"127","We drink","tomamos"
"128","They drink","toman"
"129","You drink [sing, inf]","tomas"
"130","I drink","tomo"
"131","He, she, you work [sing; you=formal 'usted']","trabaja"
"132","We work","trabajamos"
"133","They work","trabajan"
"134","You work [sing, inf]","trabajas"
"135","I work","trabajo"
"136","He, she, you sell [sing; you=formal 'usted']","vende"
"137","We sell","vendemos"
"138","They sell","venden"
"139","You sell [sing, inf]","vendes"
"140","I sell","vendo"
"141","He, she, you visit [sing; you=formal 'usted']","visita"
"142","We visit","visitamos"
"143","They visit","visitan"
"144","You visit [sing, inf]","visitas"
"145","I visit","visito"
