"id","word","answer"
"1","He, she, you open [abrir, sing; you=formal 'usted']","abre"
"2","They open [abrir]","abren"
"3","You open [abrir, sing, inf]","abres"
"4","We open [abrir]","abrimos"
"5","I open [abrir]","abro"
"6","He, she, you share [compartir, sing; you=formal 'usted']","comparte"
"7","They share [compartir]","comparten"
"8","You share [compartir, sing, inf]","compartes"
"9","We share [compartir]","compartimos"
"10","I share [compartir]","comparto"
"11","He, she, you decide [decidir, sing; you=formal 'usted']","decide"
"12","They decide [decidir]","deciden"
"13","You decide [decidir, sing, inf]","decides"
"14","We decide [decidir]","decidimos"
"15","I decide [decidir]","decido"
"16","He, she, you discuss [discutir, sing; you=formal 'usted']","discute"
"17","They discuss [discutir]","discuten"
"18","You discuss [discutir, sing, inf]","discutes"
"19","We discuss [discutir]","discutimos"
"20","I discuss [discutir]","discuto"
"21","He, she, you write [escribir, sing; you=formal 'usted']","escribe"
"22","They write [escribir]","escriben"
"23","You write [escribir, sing, inf]","escribes"
"24","We write [escribir]","escribimos"
"25","I write [escribir]","escribo"
"26","He, she, you receive [recibir, sing; you=formal 'usted']","recibe"
"27","They receive [recibir]","reciben"
"28","You receive [recibir, sing, inf]","recibes"
"29","We receive [recibir]","recibimos"
"30","I receive [recibir]","recibo"
"31","He, she, you go up [subir, sing; you=formal 'usted']","sube"
"32","They go up [subir]","suben"
"33","You go up [subir, sing, inf]","subes"
"34","We go up [subir]","subimos"
"35","I go up [subir]","subo"
