english,spanish
"I am a Mexican student. {completely irregular}","(yo) Soy un estudiante mexicano."
"You are very intelligent today. [sing, inf] {completely irregular}","(tú) Eres muy inteligente hoy."
"You are the teacher here. [sing, formal] {completely irregular}","(usted) Es la profesora aquí."
"He is my best friend. {completely irregular}","(él) Es mi mejor amigo."
"She is a good doctor. {completely irregular}","(ella) Es una buena doctora."
"We are students from Mexico. {completely irregular}","(nosotros) Somos estudiantes de México."
"You all are my friends. [pl] {completely irregular}","(ustedes) Son mis amigos."
"I am happy in the house. {completely irregular}","(yo) Estoy feliz en la casa."
"You are tired after school. [sing, inf] {completely irregular}","(tú) Estás cansado después de la escuela."
"You are sick today. [sing, formal] {completely irregular}","(usted) Está enfermo hoy."
"He is in the kitchen now. {completely irregular}","(él) Está en la cocina ahora."
"She is at the park. {completely irregular}","(ella) Está en el parque."
"We are ready for class. {completely irregular}","(nosotros) Estamos listos para la clase."
"You all are in the car. [pl] {completely irregular}","(ustedes) Están en el coche."
"I have finished my homework. {completely irregular}","(yo) He terminado mi tarea."
"You have arrived home. [sing, inf] {completely irregular}","(tú) Has llegado a casa."
"You have eaten lunch. [sing, formal] {completely irregular}","(usted) Ha comido el almuerzo."
"He has done the work. {completely irregular}","(él) Ha hecho el trabajo."
"She has gone to school. {completely irregular}","(ella) Ha ido a la escuela."
"We have played in the park. {completely irregular}","(nosotros) Hemos jugado en el parque."
"You all have studied Spanish. [pl] {completely irregular}","(ustedes) Han estudiado español."
"I go to school every day. {completely irregular}","(yo) Voy a la escuela cada día."
"You go to the market. [sing, inf] {completely irregular}","(tú) Vas al mercado."
"You go to the doctor. [sing, formal] {completely irregular}","(usted) Va al doctor."
"He goes to the park now. {completely irregular}","(él) Va al parque ahora."
"She goes to church. {completely irregular}","(ella) Va a la iglesia."
"We go to the beach. {completely irregular}","(nosotros) Vamos a la playa."
"You all go home. [pl] {completely irregular}","(ustedes) Van a casa."
"I make breakfast every morning. {yo form irregular}","(yo) Hago el desayuno cada mañana."
"You do your homework. [sing, inf] {yo form irregular}","(tú) Haces tu tarea."
"She makes a good cake. {yo form irregular}","(ella) Hace un buen pastel."
"I give my friend a book. {yo form irregular}","(yo) Doy a mi amigo un libro."
"You give me water. [sing, inf] {yo form irregular}","(tú) Das me agua."
"He gives the teacher an apple. {yo form irregular}","(él) Da a la profesora una manzana."
"I know how to swim. {yo form irregular}","(yo) Sé nadar."
"You know the answer. [sing, inf] {yo form irregular}","(tú) Sabes la respuesta."
"We know the city well. {yo form irregular}","(nosotros) Sabemos la ciudad bien."
"I bring my lunch to school. {yo form irregular}","(yo) Traigo mi almuerzo a la escuela."
"You bring your books. [sing, inf] {yo form irregular}","(tú) Traes tus libros."
"She brings her friend. {yo form irregular}","(ella) Trae a su amiga."
"I leave the house early. {yo form irregular}","(yo) Salgo de la casa temprano."
"You leave at seven. [sing, inf] {yo form irregular}","(tú) Sales a las siete."
"He leaves for work. {yo form irregular}","(él) Sale para el trabajo."
"I put the food on the table. {yo form irregular}","(yo) Pongo la comida en la mesa."
"You put your books here. [sing, inf] {yo form irregular}","(tú) Pones tus libros aquí."
"They put their things away. {yo form irregular}","(ellos) Ponen sus cosas."
"I know the teacher very well. {yo form -zc- insertion}","(yo) Conozco a la profesora bien."
"You know my best friend. [sing, inf] {yo form -zc- insertion}","(tú) Conoces a mi mejor amigo."
"We know the city. {yo form -zc- insertion}","(nosotros) Conocemos la ciudad."
"I hear the music. {yo form + y-insertion}","(yo) Oigo la música."
"You hear the bird. [sing, inf] {yo form + y-insertion}","(tú) Oyes el pájaro."
"They hear the noise. {yo form + y-insertion}","(ellos) Oyen el ruido."
"I fall down on the ground. {yo form irregular}","(yo) Caigo al suelo."
"You fall from the tree. [sing, inf] {yo form irregular}","(tú) Caes del árbol."
"We fall down easily. {yo form irregular}","(nosotros) Caemos fácilmente."
