"id";"word";"answer"
"1";"We open the books, the magazines, the newspapers and rest, happy to be on the train again.";"Abrimos los libros, las revistas, los periódicos y descansamos, contentos de estar de nuevo en el tren."
"2";"Fortunately, there is time.";"Afortunadamente, hay tiempo."
"3";"I walk with the crowd toward the exits.";"Camino con la muchedumbre hacia las salidas."
"4";"I run with the crowd to the train.";"Corro con la muchedumbre al tren."
"5";"The next train leaves precisely at five twenty.";"El próximo tren sale precisamente a las cinco y veinte."
"6";"Time passes.";"El tiempo pasa."
"7";"The train arrives at the city at five minutes past four.";"El tren llega a la ciudad a las cinco y cuatro."
"8";"It is rush hour.";"Es la hora pico."
"9";"There are restaurants in the basement and pharmacies and stores on the first floor.";"Hay restaurantes en el sótano y farmacias y tiendas en el primer piso."
"10";"There is theater and cinema, concerts and museums.";"Hay teatro y cine, conciertos y museos."
"11";"The train station is big and beautiful.";"La estación del tren es grande y hermosa."
"12";"People pass.";"La gente pasa."
"13";"There is not much sun, thank goodness.";"No hay mucho sol, menos mal."
"14";"No, it is better to return to the train; on the train everything is safe.";"No, es mejor volver al tren; en el tren todo es seguro."
"15";"I prefer the countryside where there are fewer decisions.";"Prefiero el campo donde hay menos decisiones."
"16";"I can eat in a good restaurant or listen to free music in the park.";"Puedo comer en un buen restaurante o escuchar música gratis en el parque."
"17";"I leave the station.";"Salgo de la estación."
"18";"It always leaves and arrives at its destination.";"Siempre sale y llega a su destino."
"19";"We board.";"Subimos."
"20";"We take a seat.";"Tomamos asiento."
"21";"In which direction do I walk?";"¿En qué dirección camino?"
"22";"What do I do now, with many possibilities?";"¿Qué hago ahora, con muchas posibilidades?"
"23";"What do I do after my train trip?";"¿Qué hago yo después de mi viaje en el tren?"
