"id","word","answer"
"1","to fix, arrange","arreglar"
"2","to help","ayudar"
"3","to dance","bailar"
"4","to lower, get out [of a vehicle]","bajar"
"5","to look for","buscar"
"6","to change, exchange","cambiar"
"7","to walk","caminar"
"8","to sing","cantar"
"9","to close","cerrar"
"10","to cook","cocinar"
"11","to buy","comprar"
"12","to answer","contestar"
"13","to give","dar"
"14","to leave behind","dejar"
"15","to quit","dejar de"
"16","to remove","quitar [from a surface]"
"17","to rest","descansar"
"18","to start","empezar"
"19","to find, encounter","encontrar"
"20","to listen to","escuchar"
"21","to wait [for], hope","esperar"
"22","to be [feelings, locations]","estar"
"23","to study","estudiar"
"24","to sign","firmar"
"25","to earn, win","ganar"
"26","to spend, waste","gastar"
"27","to speak","hablar"
"28","to invite","invitar"
"29","to play [a sport or game]","jugar"
"30","to wash","lavar"
"31","to arrive [to a specific destination]","llegar"
"32","to fill","llenar"
"33","to carry, wear","llevar"
"34","to clean","limpiar"
"35","to mail, send, command","mandar"
"36","to drive, manage","manejar"
"37","to need","necesitar"
"38","to forget","olvidar"
"39","to sort","ordenar"
"40","to pay","pagar"
"41","to pass, happen, spend [time]","pasar"
"42","to pass by","pasar por"
"43","to think","pensar"
"44","to think about","pensar en"
"45","to chat","platicar"
"46","to ask, question","preguntar"
"47","to prepare","preparar"
"48","to introduce","presentar"
"49","to test, taste","probar"
"50","to recommend","recomendar"
"51","to remember","recordar"
"52","to return","regresar"
"53","to take out, take [a photo]","sacar"
"54","to finish, terminate","terminar"
"55","to play [an instrument], touch","tocar"
"56","to drink, take [a mode of transport]","tomar"
"57","to work","trabajar"
"58","to try","tratar"
"59","to try to","tratar de"
"60","to use","usar"
"61","to travel","viajar"
"62","to visit","visitar"
"63","to want","querer"
"64","to go","ir"
"65","to be able to [can]","poder"
"66","to like","gustar"
"67","to have","tener"
"68","to have to","tener que"
