"ID","word","answer"
"1","I buy a red apple.","Compro una manzana roja."
"2","You buy a big book.","Compras un libro grande."
"3","He/she/you formal buys a pretty house.","Compra una casa bonita."
"4","We buy a small table.","Compramos una mesa pequeña."
"5","They/you all buy black shoes.","Compran unos zapatos negros."
"6","I clean a white plate.","Limpio un plato blanco."
"7","You clean a dirty cup.","Limpias una taza sucia."
"8","He/she/you formal cleans a blue car.","Limpia un carro azul."
"9","We clean a long street.","Limpiamos una calle larga."
"10","They/you all clean a clean room.","Limpian un cuarto limpio."
"11","I cook a hot soup.","Cocino una sopa caliente."
"12","You cook a fresh egg.","Cocinas un huevo fresco."
"13","He/she/you formal cooks a yellow potato.","Cocina una papa amarilla."
"14","We cook a rich rice.","Cocinamos un arroz rico."
"15","They/you all cook a cold salad.","Cocinan una ensalada fría."
"16","I enter a new store.","Entro en una tienda nueva."
"17","You enter an old school.","Entras en una escuela vieja."
"18","He/she/you formal enters a quiet office.","Entra en una oficina tranquila."
"19","We enter a dark theater.","Entramos en un teatro oscuro."
"20","They/you all enter an open park.","Entran en un parque abierto."
"21","I explain an easy lesson.","Explico una lección fácil."
"22","You explain a short word.","Explicas una palabra corta."
"23","He/she/you formal explains an important question.","Explica una pregunta importante."
"24","We explain a simple rule.","Explicamos una regla simple."
"25","They/you all explain a good idea.","Explican una idea buena."
"26","I finish a hard job.","Termino un trabajo difícil."
"27","You finish a normal day.","Terminas un día normal."
"28","He/she/you formal finishes a long letter.","Termina una carta extensa."
"29","We finish a fun game.","Terminamos un juego divertido."
"30","They/you all finish a special plan.","Terminan un plan especial."
"31","I forget a new name.","Olvido un nombre nuevo."
"32","You forget a small key.","Olvidas una llave pequeña."
"33","He/she/you formal forgets a blue notebook.","Olvida un cuaderno azul."
"34","We forget a clean bag.","Olvidamos una bolsa limpia."
"35","They/you all forget a white phone.","Olvidan un teléfono blanco."
"36","I help a happy friend.","Ayudo a un amigo feliz."
"37","You help a busy woman.","Ayudas a una mujer ocupada."
"38","He/she/you formal helps a tired man.","Ayuda a un hombre cansado."
"39","We help a young boy.","Ayudamos a un niño joven."
"40","They/you all help a nice girl.","Ayudan a una niña amable."
"41","I invite a close cousin.","Invito a un primo cercano."
"42","You invite a tall aunt.","Invitas a una tía alta."
"43","He/she/you formal invites a short uncle.","Invita a un tío bajo."
"44","We invite a cheerful neighbor.","Invitamos a una vecina alegre."
"45","They/you all invite a generous teacher.","Invitan a un maestro generoso."
"46","I listen to a soft song.","Escucho una canción suave."
"47","You listen to a loud radio.","Escuchas una radio fuerte."
"48","He/she/you formal listens to a clear voice.","Escucha una voz clara."
"49","We listen to slow music.","Escuchamos una música lenta."
"50","They/you all listen to a fast sound.","Escuchan un sonido rápido."
"51","I look at a green tree.","Miro un árbol verde."
"52","You look at a high mountain.","Miras una montaña alta."
"53","He/she/you formal looks at a wide river.","Mira un río ancho."
"54","We look at a gray cloud.","Miramos una nube gris."
"55","They/you all look at a bright star.","Miran una estrella brillante."
"56","I look for a cheap pen.","Busco una pluma barata."
"57","You look for a brown hat.","Buscas un sombrero café."
"58","He/she/you formal looks for a red shirt.","Busca una camisa roja."
"59","We look for a new map.","Buscamos un mapa nuevo."
"60","They/you all look for a small ticket.","Buscan un boleto pequeño."
"61","I need a soft bed.","Necesito una cama cómoda."
"62","You need a full glass.","Necesitas un vaso lleno."
"63","He/she/you formal needs an empty box.","Necesita una caja vacía."
"64","We need a sharp pencil.","Necesitamos un lápiz afilado."
"65","They/you all need a clean towel.","Necesitan una toalla limpia."
"66","I pay an expensive bill.","Pago una cuenta cara."
"67","You pay a low price.","Pagas un precio bajo."
"68","He/she/you formal pays a monthly rent.","Paga una renta mensual."
"69","We pay a fair entry fee.","Pagamos una entrada justa."
"70","They/you all pay a small fine.","Pagan una multa pequeña."
"71","I play an old guitar.","Toco una guitarra antigua."
"72","You play a black piano.","Tocas un piano negro."
"73","He/she/you formal plays a new drum.","Toca un tambor nuevo."
"74","We play a golden bell.","Tocamos una campana dorada."
"75","They/you all play a silver flute.","Tocan una flauta plateada."
"76","I practice a useful sentence.","Practico una oración útil."
"77","You practice a basic exercise.","Practicas un ejercicio básico."
"78","He/she/you formal practices an oral answer.","Practica una respuesta oral."
"79","We practice a short dialogue.","Practicamos un diálogo breve."
"80","They/you all practice an easy song.","Practican una canción fácil."
"81","I prepare a light breakfast.","Preparo un desayuno ligero."
"82","You prepare a healthy meal.","Preparas una comida saludable."
"83","He/she/you formal prepares a sweet dessert.","Prepara un postre dulce."
"84","We prepare a large coffee.","Preparamos un café grande."
"85","They/you all prepare a cold drink.","Preparan una bebida fría."
"86","I remember a beautiful place. [ue]","Recuerdo un lugar hermoso."
"87","You remember a happy party. [ue]","Recuerdas una fiesta feliz."
"88","He/she/you formal remembers a good movie. [ue]","Recuerda una película buena."
"89","We remember a sad story.","Recordamos una historia triste."
"90","They/you all remember an old photo. [ue]","Recuerdan una foto vieja."
"91","I rest in a comfortable chair.","Descanso en una silla cómoda."
"92","You rest in a quiet garden.","Descansas en un jardín tranquilo."
"93","He/she/you formal rests in a clean hotel.","Descansa en un hotel limpio."
"94","We rest in a fresh patio.","Descansamos en un patio fresco."
"95","They/you all rest in a calm house.","Descansan en una casa calmada."
"96","I return to a yellow room.","Regreso a un cuarto amarillo."
"97","You return to a small town.","Regresas a un pueblo pequeño."
"98","He/she/you formal returns to a big city.","Regresa a una ciudad grande."
"99","We return to an old market.","Regresamos a un mercado viejo."
"100","They/you all return to a beautiful beach.","Regresan a una playa hermosa."
"101","I show a new photo. [ue]","Muestro una foto nueva."
"102","You show a clean shirt. [ue]","Muestras una camisa limpia."
"103","He/she/you formal shows a pretty flower. [ue]","Muestra una flor bonita."
"104","We show a simple drawing.","Mostramos un dibujo simple."
"105","They/you all show a big paper. [ue]","Muestran un papel grande."
"106","I speak a clear language.","Hablo un idioma claro."
"107","You speak a simple sentence.","Hablas una oración simple."
"108","He/she/you formal speaks a soft truth.","Habla una verdad suave."
"109","We speak a kind word.","Hablamos una palabra amable."
"110","They/you all speak a short message.","Hablan un mensaje corto."
"111","I meet a serious classmate.","Quedo con un compañero serio."
"112","You meet a friendly student.","Quedas con una estudiante simpática."
"113","He/she/you formal meets a punctual doctor.","Queda con un doctor puntual."
"114","We meet a calm family.","Quedamos con una familia tranquila."
"115","They/you all meet a new group.","Quedan con un grupo nuevo."
"116","I study a difficult book.","Estudio un libro difícil."
"117","You study a long chapter.","Estudias un capítulo largo."
"118","He/she/you formal studies a new list.","Estudia una lista nueva."
"119","We study an easy verb.","Estudiamos un verbo fácil."
"120","They/you all study a basic text.","Estudian un texto básico."
"121","I drink warm tea.","Tomo un té tibio."
"122","You drink cold water.","Tomas agua fría."
"123","He/she/you formal takes a fast taxi.","Toma un taxi rápido."
"124","We take a long bus.","Tomamos un autobús largo."
"125","They/you all take a green train.","Toman un tren verde."
"126","I travel to a nice country.","Viajo a un país bonito."
"127","You travel to a clean island.","Viajas a una isla limpia."
"128","He/she/you formal travels to a quiet village.","Viaja a una aldea tranquila."
"129","We travel to a sunny coast.","Viajamos a una costa soleada."
"130","They/you all travel to a cold north.","Viajan a un norte frío."
"131","I visit a famous museum.","Visito un museo famoso."
"132","You visit a large zoo.","Visitas un zoológico grande."
"133","He/she/you formal visits a pretty church.","Visita una iglesia bonita."
"134","We visit a central plaza.","Visitamos una plaza central."
"135","They/you all visit a modern library.","Visitan una biblioteca moderna."
"136","I walk on a narrow path.","Camino por un camino estrecho."
"137","You walk on a long bridge.","Caminas por un puente largo."
"138","He/she/you formal walks through/in a safe neighborhood.","Camina por un barrio seguro."
"139","We walk on a white sidewalk.","Caminamos por una banqueta blanca."
"140","They/you all walk on a dry road.","Caminan por una carretera seca."
"141","I wash a blue plate.","Lavo un plato azul."
"142","You wash a dirty glass.","Lavas un vaso sucio."
"143","He/she/you formal washes a white towel.","Lava una toalla blanca."
"144","We wash a black sock.","Lavamos un calcetín negro."
"145","They/you all wash a red blanket.","Lavan una cobija roja."
"146","I work in a quiet office.","Trabajo en una oficina silenciosa."
"147","You work in a new store.","Trabajas en una tienda nueva."
"148","He/she/you formal works in a busy restaurant.","Trabaja en un restaurante ocupado."
"149","We work in a big school.","Trabajamos en una escuela grande."
"150","They/you all work in a small hospital.","Trabajan en un hospital pequeño."
