"id","word","answer"
"402","to evolve, develop {-ar}","evolucionar"
"403","to exaggerate {-ar}","exagerar"
"404","to examine, inspect {-ar}","examinar"
"405","to excel, exceed {-er}","exceder"
"406","to exclaim {-ar}","exclamar"
"407","to exclude, reject {-ir}","excluir"
"408","to exhibit, show off {-ir}","exhibir"
"409","to expand {-ir}","expandir"
"410","to experience, experiment {-ar}","experimentar"
"411","to explore {-ar}","explorar"
"412","to explode, exploit {-ar}","explotar"
"413","export {-ar}","exportar"
"414","to express {-ar}","expresar"
"415","to expel, throw out {-ar}","expulsar"
"416","to extend, spread {-er}","extender"
"417","to manufacture {-ar}","fabricar"
"418","to facilitate {-ar}","facilitar"
"419","to fail, miss {-ar}","fallar"
"420","to fascinate {-ar}","fascinar"
"421","to congratulate {-ar}","felicitar"
"422","to celebrate {-ar}","festejar"
"423","to appear, represent {-ar}","figurar"
"424","to set, to fix {-ar}","fijar"
"425","to seep, filter {-ar}","filtrar"
"426","to end, finalize {-ar}","finalizar"
"427","to finance {-ar}","financiar"
"428","to sign {-ar}","firmar"
"429","to float, flutter {-ar}","flotar"
"430","to foster, promote, encourage {-ar}","fomentar"
"431","to formulate {-ar}","formular"
"432","to fail, be unsuccessful {-ar}","fracasar"
"433","to frequent, visit {-ar}","frecuentar"
"434","to brake, restrain {-ar}","frenar"
"435","to rub, scrub {-ar}","frotar"
"436","to frustrate, prevent {-ar}","frustrar"
"437","to smoke {-ar}","fumar"
"438","to base, found {-ar}","fundamentar"
"439","to found, base {-ar}","fundar"
"440","to melt, cast, smelt {-ir}","fundir"
"441","to guarantee {-ar}","garantizar"
"442","to generalize, popularize {-ar}","generalizar"
"443","to generate {-ar}","generar"
"444","to manage, handle {-ar}","gestionar"
"445","to rotate, revolve {-ar}","girar"
"446","to govern {-ar}","gobernar"
"447","to hit, strike {-ar}","golpear"
"448","to enjoy {-ar}","gozar"
"449","to record, engrave {-ar}","grabar"
"450","to adjust, graduate {-ar}","graduar"
"451","to shout {-ar}","gritar"
"452","to keep, save {-ar}","guardar"
"453","to guide, lead, steer {-ar}","guiar"
"454","to humiliate {-ar}","humillar"
"455","to sink, submerge {-ir}","hundir"
"456","to devise, design {-ar}","idear"
"457","to identify {-ar}","identificar"
"458","to be unaware {-ar}","ignorar"
"459","to illuminate, light up {-ar}","iluminar"
"460","to illustrate {-ar}","ilustrar"
"461","to imagine {-ar}","imaginar"
"462","to imitate, copy, mimic {-ar}","imitar"
"463","to impart, administer {-ir}","impartir"
"464","to implement {-ar}","implementar"
"465","to implicate, imply {-ar}","implicar"
"466","to impress {-ar}","impresionar"
"467","to print {-ir}","imprimir"
"468","to improvise {-ar}","improvisar"
"469","to push, promote, drive {-ar}","impulsar"
"470","to inaugurate, start {-ar}","inaugurar"
"471","to influence, affect {-ir}","incidir"
"472","to bow, tilt, incline {-ar}","inclinar"
"473","to incorporate, include {-ar}","incorporar"
"474","to increase {-ar}","incrementar"
"475","to indicate {-ar}","indicar"
"476","to anger {-ar}","indignar"
"477","to join, deposit, admit {-ar}","ingresar"
"478","to initiate, start {-ar}","iniciar"
"479","to make uneasy, disturb {-ar}","inquietar"
"480","to insert, put in {-ar}","insertar"
"481","to insinuate, hint {-ar}","insinuar"
"482","to inspire, inhale {-ar}","inspirar"
"483","to install {-ar}","instalar"
"484","to insult, berate {-ar}","insultar"
"485","to integrate, fit in {-ar}","integrar"
"486","to try, attempt {-ar}","intentar"
"487","to exchange {-ar}","intercambiar"
"488","to interpret {-ar}","interpretar"
"489","to question, interrogate {-ar}","interrogar"
"490","to interrupt {-ir}","interrumpir"
"491","to sense {-ir}","intuir"
"492","to flood, inundate {-ar}","inundar"
"493","to invade, overcome {-ir}","invadir"
"494","to invent, make up {-ar}","inventar"
"495","to investigate {-ar}","investigar"
"496","to invite {-ar}","invitar"
"497","to invoke {-ar}","invocar"
"498","to involve {-ar}","involucrar"
"499","to irritate {-ar}","irritar"
"500","to bring together {-ar}","juntar"
"501","to swear, take an oath {-ar}","jurar"
