"id","word","answer"
"1","How do I get to ___?","¿Cómo llego a ___?"
"2","What is the password?","¿Cuál es la contraseña?"
"3","How long will it take to walk there?","¿Cuánto tiempo tarda en caminar hasta allá?"
"4","Where is ___?","¿Dónde está ___?"
"5","Is this the way to ___?","¿Es por aquí para ir a ___?"
"6","Is it close?","¿Está cerca?"
"7","Is it  far?","¿Está lejos?"
"8","Is this the right way to ___?","¿Este es el camino correcto para ir a ___?"
"9","Is there Wi‑Fi here?","¿Hay Wi-Fi público aquí?"
"10","Could you please write it, please?","¿Me la puede escribir, por favor"
"11","May I have the password?","¿Me puede dar la contraseña?"
"12","Can you tell me where ___ is?","¿Me puede decir dónde está ___?"
"13","How far is ___?","¿Qué tan lejos está ___?"
"14","How far?","¿Qué tan lejos?"
"15","Do you have Wi-Fi here?","¿Tienen Wi-Fi aquí?"
"16","Walk forward and cross the street.","Camine adelante y cruce la calle."
"17","Walk along the sidewalk two blocks.","Camine por la banqueta dos cuadras."
"18","Cross the bridge and go straight.","Cruce el puente y vaya todo derecho."
"19","You are welcome.","De nada."
"20","Excuse me, can you repeat that?","Disculpe, ¿me puede repetir eso?"
"21","Turn right after the traffic light.","Doble (Gire) a la derecha después del semáforo."
"22","Turn right at the traffic light near the hospital.","Doble (Gire) a la derecha en el semáforo cerca del hospital."
"23","Turn left at the avenue.","Doble (Gire) a la izquierda en la avenida."
"24","Turn left at the corner please.","Doble (Gire) a la izquierda en la esquina, por favor."
"25","The hospital is near the park.","El hospital está cerca del parque."
"26","The place is next to the church.","El lugar está al lado de la iglesia."
"27","The restaurant is on the corner of the plaza.","El restaurante está en la esquina de la plaza."
"28","It is in front of the school.","Está enfrente de la escuela."
"29","I am looking for ___","Estoy buscando ___."
"30","The station is next to the bridge.","La estación está al lado del puente."
"31","The church is behind the market.","La iglesia está detrás del mercado."
"32","The store is around the corner.","La tienda está a la vuelta de la esquina."
"33","Thank you very much.","Muchas gracias."
"34","It is not far, only one block.","No está lejos, solo una cuadra."
"35","Continue straight ahead.","Siga todo derecho."
"36","Take the next street on the left.","Tome la siguiente calle a la izquierda."
"37","Go north on this avenue.","Vaya al norte por esta avenida."
"38","Go behind the building.","Vaya detrás del edificio."
"39","Go straight two blocks.","Vaya todo derecho dos cuadras."
