"id";"word";"answer"
"1";"Around eight o'clock at night, upon hearing the music that indicates that the circus is going to begin, Leonora is going to close the office and leave to go see the show.";"A eso de las ocho de la noche, al escuchar la música que indica que el circo va a empezar, Leonora va a cerrar la oficina y salir para ir a ver la función."
"2";"Although she is forty years old, my friend Leonora wants to work in a circus.";"Aunque ella tiene cuarenta años, mi amiga Leonora quiere trabajar en un circo."
"3";"In any case, she is going to return soon.";"De todos modos, ella va a volver pronto."
"4";"From two o'clock in the afternoon until seven, she and her colleagues are going to sell more tickets by phone and in person.";"Desde las dos de la tarde hasta las siete, ella y sus colegas van a vender más tiquetes por teléfono y en persona."
"5";"After lunch, she is going to watch some rehearsals and talk with the trapeze artists.";"Después de almorzar, va a mirar algunos ensayos y a hablar con los trapecistas."
"6";"The limit is that she is going to earn only three hundred dollars per week.";"El colmo es que va a ganar solamente trescientos dólares por semana."
"7";"She thinks that it is going to be a great adventure.";"Ella piensa que va a ser una gran aventura."
"8";"She leaves tomorrow.";"Ella sale mañana."
"9";"It is nice, the weather is good, and I have other friends.";"Es bonito, hace buen tiempo y tengo otras amigas."
"10";"It is true that she is single and a teacher and has the summer free, but I do not understand why she does not want to go to the Caribbean or to any relaxing place.";"Es verdad que ella es soltera y maestra y tiene el verano libre pero no entiendo por qué ella no quiere ir al Caribe o a cualquier sitio relajante."
"11";"There is a circus tour through the northeast of the United States and she is going to spend all summer with them.";"Hay una gira del circo por el noreste de los Estados Unidos y ella va a pasar todo el verano con ellos."
"12";"For my part, I prefer to spend the summer here.";"Por mi parte, prefiero pasar el verano aquí."
"13";"According to Leonora, she is going to sell tickets in the morning.";"Según Leonora, ella va a vender tiquetes por la mañana."
"14";"I am single also and have the summer free, but I have no interest whatsoever in the circus.";"Yo soy soltera también y tengo el verano libre, pero no tengo el menor interés en el circo."
"15";"It is absurd!";"¡Es absurdo!"
"16";"What is there to do in a circus?";"¿Qué hay que hacer en un circo?"
