"Title: The Morning Contest";"El Concurso de la Mañana"
"I win a small prize at the community center.";"Gano un premio pequeño en el centro comunitario."
"We talk about the contest while we drink coffee.";"Hablamos del concurso mientras tomamos café."
"She tries to open the box, but it is taped shut.";"Ella intenta abrir la caja, pero está bien sellada."
"They invite us to stay for another activity.";"Nos invitan a quedarnos para otra actividad."
"You wash your hands before the next game.";"Lavas tus manos antes del siguiente juego."
"The volunteers clean the tables quickly.";"Los voluntarios limpian las mesas rápido."
"He calls his brother to tell him the news.";"Él llama a su hermano para contarle la noticia."
"More people arrive and fill the room.";"Más personas llegan y llenan el salón."
"We carry the prize home carefully.";"Llevamos el premio a casa con cuidado."
"Tomorrow I am going to send a picture of it to my family.";"Mañana voy a mandar una foto a mi familia."
