Sorry. [regret],Lo siento.
Sorry. [apology],Perdón.
"Excuse me. [attention, apology]",Disculpe.
Pardon? [misunderstanding],¿Mande?
"Excuse me. [asking to get by, to pass]",Con permiso.
I'm pleased to meet you.,Mucho gusto.
This is my husband.,Este es mi esposo.
This is my partner.,Este es mi pareja.
This is my companion.,Este es mi compañero.
This is my friend.,Este es mi amigo.
This is my buddy.,Este es mi compadre.
Do you live here?,¿Vive aquí?
Where are you going?,¿A dónde va?
What are you doing?,¿Qué hace?
What's this called?,¿Cómo se llama ésto?
I'm here with my partner.,Estoy aquí con mi pareja.
How long are you here for?,¿Cuánto tiempo va a estar aquí?
I'm here for (two) days/weeks.,Voy a estar (dos) días/semanas.
Do you like it here?,¿Le gusta este lugar?
I love it here.,Me encanta este lugar.
I'm here on vacation.,Estoy aquí de vacaciones.
Where are you from?,¿De dónde es?
I'm/We're from the United States.,Soy/Somos de los Estados Unidos.
How old are you?,¿Cuántos años tiene?
My birthday is on June 22nd.,Mi cumpleaños es el veintidós de junio.
I am (seventy) years old.,Tengo (setenta) años.
You are much younger than you look.,Eres más joven de lo que pareces.
I'm much younger than I look.,Soy más joven de lo que parezco.
What is your occupation?,¿A qué se dedica?
I am retired.,Estoy jubilado.
Are you married?,¿Está casado?
I am married.,Soy casado.
When is your birthday?,¿Cuándo es su (tu) cumpleaños?
What is your email address?,¿Cuál es tu dirección de email?
What is your cellphone number?,¿Cuál es tu número de celular?
I'll send you the photos.,Te mandaré las fotos.
Keep in touch.,¡Mantente en contacto!
It's been great meeting you.,Ha sido un placer conocerte.
I'm going to miss you.,¡Te voy a extrañar!
What do you like to do in your spare time?,¿Qué te gusta hacer en tu tiempo libre?
Do you like to travel?,¿Te gusta viajar?
I don't like to cook?,No me gusta cocinar.
Do you like to listen to music?,¿Te gusta escuchar música?
What music do you like?,¿Qué música te gusta?
What type of movies do you like?,¿Qué tipo de películas te gustan?
What kind of books do you read?,¿Qué tipo de libros lees?
Are you cold?,¿Tienes frío?
Are you hungry?,¿Tienes hambre?
Are you sleepy?,¿Tienes sueño?
Are you thirsty?,¿Tienes sed?
I'm a little (sad).,Estoy un poco (triste).
I'm very (happy).,Estoy muy (feliz).
Did you like it?,¿Te gustó?
What did you think of it?,¿Qué pensaste de eso?
I thought it was (beautiful).,Pienso que fue hermoso.
I thought it was (excellent).,Pienso que fue excelente.
I thought it was (horrible).,Pienso que fue horrible.
What time shall we meet?,¿A qué hora nos vemos?
Let's meet at (eight o'clock).,Nos vemos a (las ocho).
Where will we meet?,¿Dónde nos vemos?
Let's meet at (the entrance).,Nos vemos en (la entrada).
I'm looking forward to it.,Tengo muchas ganas de ir.
Is it safe?,¿Es seguro?
I'm lost.,Estoy perdido.
What's the weather like?,¿Cómo está el clima?
It's cloudy.,Está nublado.
It's sunny.,Está soleado.
It's warm.,Está cálido.
It's windy.,Está ventoso.
It's the dry season.,Es la temporada seca.
It's the rainy season.,Es la temporada de lluvias.
Is the water ok to drink?,¿Se puede tomar el agua?
It's beautiful.,Es hermoso.
Is this a local custom?,¿Es una costumbre local?
I'm not used to this.,No estoy acostumbrado a esto. 
