"id","word","answer"
"1","He, she, you believe [creer, sing; you=formal 'usted']","cree"
"2","We believe [creer]","creemos"
"3","They believe [creer]","creen"
"4","You believe [creer, sing, inf]","crees"
"5","I believe [creer]","creo"
"6","He, she, you read [leer, sing; you=formal 'usted']","lee"
"7","We read [leer]","leemos"
"8","They read [leer]","leen"
"9","You read [leer, sing, inf]","lees"
"10","I read [leer]","leo"
"11","He, she, you break [romper, sing; you=formal 'usted']","rompe"
"12","We break [romper]","rompemos"
"13","They break [romper]","rompen"
"14","You break [romper, sing, inf]","rompes"
"15","I break [romper]","rompo"
"16","He, she, you sell [vender, sing; you=formal 'usted']","vende"
"17","We sell [vender]","vendemos"
"18","They sell [vender]","venden"
"19","You sell [vender, sing, inf]","vendes"
"20","I sell [vender]","vendo"
