"Title: The Science Morning";"La Mañana de Ciencia"
"We absorb new information in the science lab.";"Absorbemos información nueva en el laboratorio de ciencias."
"I learn something different every day.";"Aprendo algo diferente cada día."
"They sweep the floor after an experiment.";"Ellos barren el piso después de un experimento."
"You drink water because the room is warm.";"Bebes agua porque el salón está calientito."
"She eats a small snack during the break.";"Ella come un bocadillo pequeño durante el descanso."
"He commits a small mistake but fixes it fast.";"Él comete un error pequeño pero lo arregla rápido."
"I understand the instructions clearly.";"Comprendo las instrucciones claramente."
"Students run to see the results on the board.";"Los estudiantes corren para ver los resultados en el pizarrón."
"The numbers correspond to each group.";"Los números corresponden a cada grupo."
"Tomorrow we are going to believe in our project even more.";"Mañana vamos a creer aún más en nuestro proyecto."
