"Title: Morning At Home";"Mañana En Casa"
"I give the plants a little water."; "Doy un poco de agua a las plantas."
"You let the sunlight in through the window. [sing, inf]"; "Dejas entrar la luz por la ventana."
"We drink a warm cup of coffee."; "Bebemos una taza de café calientita."
"They finish their breakfast quickly."; "Acaban su desayuno rápido."
"I am going to pay the bills later."; "Voy a pagar las cuentas más tarde."
"You spend a few pesos on bread. [pl]"; "Gastan unos pesos en pan."
"We take out the trash before leaving."; "Sacamos la basura antes de salir."
"They remove the old papers from the table."; "Quitan los papeles viejos de la mesa."
"You drive carefully through the neighborhood. [sing, formal]"; "Maneja con cuidado por la colonia."
"I open the windows for fresh air."; "Abro las ventanas para que entre aire."
"We are going to love the quiet morning."; "Vamos a amar la mañana tranquila."
"They wash the dishes together."; "Lavan los trastes juntos."
"You cook eggs with vegetables. [sing, inf]"; "Cocinas huevos con verduras."
"We clean the kitchen after eating."; "Limpiamos la cocina después de comer."
"They dry the cups with a small towel."; "Secan las tazas con una toallita."
"You are going to bathe the dog later. [pl]"; "Van a bañar al perro más tarde."
"I matter to my family a lot."; "Importo mucho a mi familia."
"We interest the kids with a fun idea."; "Interesamos a los niños con una idea divertida."
"They bother each other playfully."; "Se molestan de manera juguetona."
"You win a small prize from a cereal box. [sing, formal]"; "Gana un pequeño premio de una caja de cereal."
"I go up the stairs to get my bag."; "Subo las escaleras para agarrar mi bolsa."
"We come down to the living room."; "Bajamos a la sala."
"They dance to a quick song."; "Bailan una canción rápida."
"You are going to tie the bags before leaving. [sing, inf]"; "Vas a atar las bolsas antes de salir."
"We tell a short story before heading out."; "Contamos una historia corta antes de salir."
