word,answer
“Ella ___ mi amiga. {She is my friend.}”,“Ella es mi amiga. [identity/relationship = ser]”
“¿Él ___ tu profesor? {Is he your teacher?}”,”¿Él es tu profesor? [identity/classification = ser]”
“Él ___ doctor. {He is a doctor.}”,“Él es doctor. [profession = ser]”
“¿Tú ___ ingeniero? {Are you an engineer?}”,”¿Tú eres ingeniero? [profession = ser]”
“Soy de México. {I am from Mexico.}”,“Soy de México. [origin = ser]”
“¿Ustedes ___ de España? {Are you all from Spain?}”,”¿Ustedes son de España? [origin = ser]”
“Él ___ alto. {He is tall.}”,“Él es alto. [inherent characteristic = ser]”
“¿Ella ___ simpática? {Is she nice?}”,”¿Ella es simpática? [inherent characteristic = ser]”
“El libro ___ interesante. {The book is interesting.}”,“El libro es interesante. [inherent quality/judgment = ser]”
“¿La película ___ buena? {Is the movie good?}”,”¿La película es buena? [inherent quality/judgment = ser]”
“Hoy ___ lunes. {Today is Monday.}”,“Hoy es lunes. [time/date = ser]”
“¿Qué hora ___? {What time is it?}”,”¿Qué hora es? [time = ser]”
“El libro ___ de Ana. {The book is Ana’s.}”,“El libro es de Ana. [possession = ser]”
“¿La casa ___ de ustedes? {Is the house yours?}”,”¿La casa es de ustedes? [possession = ser]”
“La mesa ___ de madera. {The table is made of wood.}”,“La mesa es de madera. [material = ser]”
“¿El anillo ___ de oro? {Is the ring made of gold?}”,”¿El anillo es de oro? [material = ser]”
“La reunión ___ en mi casa. {The meeting is at my house.}”,“La reunión es en mi casa. [event location = ser]”
“¿La fiesta ___ en el parque? {Is the party in the park?}”,”¿La fiesta es en el parque? [event location = ser]”
“Estoy en casa. {I am at home.}”,“Estoy en casa. [location = estar]”
“¿El gato ___ en la mesa? {Is the cat on the table?}”,”¿El gato está en la mesa? [location = estar]”
“Estoy cansado. {I am tired.}”,“Estoy cansado. [temporary condition/health = estar]”
“¿Ella ___ enferma? {Is she sick?}”,”¿Ella está enferma? [temporary condition/health = estar]”
“Estoy feliz. {I am happy.}”,“Estoy feliz. [emotional state = estar]”
“¿Él ___ enojado? {Is he angry?}”,”¿Él está enojado? [emotional state = estar]”
“Estamos juntos. {We are together.}”,“Estamos juntos. [state/situation = estar]”
“¿Ustedes ___ listos? {Are you ready?}”,”¿Ustedes están listos? [state/situation = estar]”
“Estoy estudiando. {I am studying.}”,“Estoy estudiando. [ongoing action = estar]”
“¿Ellos ___ trabajando? {Are they working?}”,”¿Ellos están trabajando? [ongoing action = estar]”
“La puerta ___ cerrada. {The door is closed.}”,“La puerta está cerrada. [result of action = estar]”
“¿La tienda ___ abierta? {Is the store open?}”,”¿La tienda está abierta? [result of action = estar]”
“El café ___ frío. {The coffee is cold (right now).}”,“El café está frío. [situational condition/judgment = estar]”
“¿La sopa ___ caliente? {Is the soup hot?}”,”¿La sopa está caliente? [situational condition/judgment = estar]”
“how something is right now [estar or ser ?]”,“estar [state/condition]”
“location [estar or ser ?]”,“estar [location]”
“temporary condition/reaction (including health) [estar or ser ?]”,“estar [temporary condition/health]”
“emotional state / changing mood [estar or ser ?]”,“estar [emotional state]”
“state or situation [estar or ser ?]”,“estar [state/situation]”
“what something is (identity/essence) [estar or ser ?]”,“ser [identity/essence]”
“inherent characteristic (description) [estar or ser ?]”,“ser [inherent characteristic]”
“profession [estar or ser ?]”,“ser [profession]”
“origin [estar or ser ?]”,“ser [origin]”
“identity / classification [estar or ser ?]”,“ser [identity/classification]”
“material [estar or ser ?]”,“ser [material]”
“possession / ownership [estar or ser ?]”,“ser [possession/ownership]”
“event location (where an event takes place) [estar or ser ?]”,“ser [event location]”
“inherent quality/general judgment [estar or ser ?]”,“ser [inherent quality/judgment]”
“Ella ___ mi mejor amiga de la infancia. {She is my best friend from childhood.}”,“Ella es mi mejor amiga de la infancia. [identity/relationship = ser]”
“¿Él ___ tu profesor nuevo de matemáticas? {Is he your new math teacher?}”,”¿Él es tu profesor nuevo de matemáticas? [identity/classification = ser]”
“Él ___ un doctor muy famoso en la ciudad. {He is a very famous doctor in the city.}”,“Él es un doctor muy famoso en la ciudad. [profession = ser]”
